shipment_id,shipment_date,carrier,origin,destination,region,shipping_mode,priority,weight,distance,shipping_cost,promised_delivery_days,actual_delivery_days,delivery_status,is_delayed
SHP100026,2025-01-14,UPS,Mumbai,Lucknow,Central,Road,Standard,12.52,688,926.93,5,7,Delayed,1
SHP100027,2025-01-15,UPS,Chennai,Lucknow,North,Air,Standard,14.61,807,1444.48,3,2,Delivered,0
SHP100028,2025-01-15,FedEx,Mumbai,Pune,South,Road,Express,7.17,2356,1474.98,7,7,Delivered,0
SHP100029,2025-01-16,BlueDart,Kolkata,Jaipur,West,Air,Standard,7.72,904,1232.8,4,4,Delivered,0
SHP100030,2025-01-16,BlueDart,Mumbai,Jaipur,North,Rail,Standard,10.14,1455,1045.59,7,6,Delivered,0
SHP100031,2025-01-17,UPS,Delhi,Ahmedabad,Central,Air,High,14.35,968,1649.31,4,10,Delayed,1
SHP100032,2025-01-17,BlueDart,Hyderabad,Lucknow,South,Road,Standard,6.74,2123,1169.68,7,7,Delivered,0
SHP100033,2025-01-18,BlueDart,Mumbai,Lucknow,North,Rail,Standard,10.05,1421,1063.43,7,7,Delivered,0
SHP100034,2025-01-19,DHL,Hyderabad,Jaipur,East,Road,Express,4.44,1376,919.58,6,6,Delivered,0
SHP100035,2025-01-19,UPS,Mumbai,Lucknow,West,Road,Express,2.46,196,410.07,4,4,Delivered,0
SHP100036,2025-01-20,Delhivery,Kolkata,Jaipur,North,Road,High,4.8,2495,1426.75,7,7,Delivered,0
SHP100037,2025-01-20,UPS,Chennai,Jaipur,South,Road,High,16.43,1197,1370.29,5,5,Delivered,0
SHP100038,2025-01-21,Delhivery,Chennai,Thiruvananthapuram,East,Road,Express,10.18,247,601.27,6,6,Delivered,0
SHP100039,2025-01-21,DHL,Hyderabad,Jaipur,South,Sea,Standard,2.66,1818,887.57,11,17,Delayed,1
SHP100040,2025-01-22,FedEx,Kolkata,Kochi,South,Road,Standard,10.49,1444,1106.78,6,5,Delivered,0
SHP100041,2025-01-22,BlueDart,Kolkata,Kochi,East,Road,Standard,2.83,774,573.24,5,7,Delivered,0
SHP100042,2025-01-23,DHL,Kolkata,Kochi,South,Road,Standard,8.7,1004,875.3,5,5,Delivered,0
SHP100043,2025-01-23,BlueDart,Delhi,Kochi,East,Road,Express,3.3,231,313.85,4,5,Delivered,0
SHP100044,2025-01-24,FedEx,Bengaluru,Pune,North,Air,Express,2.54,665,1045.46,3,3,Delivered,0
SHP100045,2025-01-25,FedEx,Mumbai,Ahmedabad,East,Road,Standard,18.16,992,1203.72,5,5,Delivered,0
SHP100046,2025-01-25,DHL,Kolkata,Ahmedabad,East,Sea,Express,5.28,2401,1188.91,12,13,Delivered,0
SHP100047,2025-01-26,FedEx,Kolkata,Jaipur,West,Air,Standard,10.06,1657,1715.62,4,4,Delivered,0
SHP100048,2025-01-26,Delhivery,Kolkata,Lucknow,East,Road,Standard,6.93,575,586.46,5,9,Delayed,1
SHP100049,2025-01-27,FedEx,Chennai,Kochi,East,Air,Express,3.02,2228,1579.6,5,4,Delivered,0
SHP100050,2025-01-27,BlueDart,Kolkata,Ahmedabad,North,Road,Standard,5.7,636,635.63,5,5,Delivered,0
SHP100051,2025-01-28,BlueDart,Mumbai,Ahmedabad,West,Air,Standard,3.04,1185,1101.93,3,3,Delivered,0
SHP100052,2025-01-28,BlueDart,Kolkata,Kochi,Central,Road,Standard,26.39,1632,1751.19,6,6,Delivered,0
SHP100053,2025-01-29,BlueDart,Mumbai,Pune,North,Rail,Standard,11.25,2200,1265.28,8,8,Delivered,0
SHP100054,2025-01-29,Delhivery,Delhi,Pune,North,Road,Express,6.84,236,425.94,4,9,Delayed,1
SHP100055,2025-01-30,UPS,Bengaluru,Ahmedabad,Central,Road,High,9.71,814,942.86,6,6,Delivered,0
SHP100056,2025-01-31,DHL,Chennai,Pune,East,Rail,Standard,10.79,2259,1425.99,8,16,Delayed,1
SHP100057,2025-01-31,BlueDart,Mumbai,Thiruvananthapuram,South,Sea,Standard,10.8,1507,1042.73,11,10,Delivered,0
SHP100058,2025-02-01,FedEx,Hyderabad,Kochi,West,Air,Express,10.51,638,1323.44,3,4,Delivered,0
SHP100059,2025-02-01,BlueDart,Delhi,Ahmedabad,South,Road,High,9.99,2234,1382.46,6,5,Delivered,0
SHP100060,2025-02-02,FedEx,Bengaluru,Kochi,Central,Air,Standard,7.23,2392,1919.44,4,5,Delivered,0
SHP100061,2025-02-02,FedEx,Bengaluru,Pune,North,Sea,Standard,17.29,234,833.75,10,10,Delivered,0
SHP100062,2025-02-03,BlueDart,Bengaluru,Kochi,North,Sea,Express,7.55,1076,827.02,11,13,Delayed,1
SHP100063,2025-02-03,Delhivery,Mumbai,Pune,West,Road,Express,6.98,2374,1299.3,6,7,Delayed,1
SHP100064,2025-02-04,FedEx,Delhi,Pune,North,Rail,Standard,7.6,610,637.12,7,12,Delayed,1
SHP100065,2025-02-04,FedEx,Kolkata,Kochi,North,Road,Express,7.97,2051,1486.41,6,7,Delivered,0
SHP100066,2025-02-05,BlueDart,Hyderabad,Pune,West,Road,Standard,1.68,808,538.78,6,5,Delivered,0
SHP100067,2025-02-06,FedEx,Delhi,Thiruvananthapuram,West,Air,Standard,3.52,1257,1479.62,4,4,Delivered,0
SHP100068,2025-02-06,FedEx,Delhi,Jaipur,Central,Rail,Standard,6.25,233,597.49,8,8,Delivered,0
SHP100069,2025-02-07,BlueDart,Delhi,Kochi,North,Air,Express,1.6,171,789.35,2,3,Delivered,0
SHP100070,2025-02-07,BlueDart,Mumbai,Jaipur,North,Rail,Standard,6.83,2465,1454.67,8,8,Delivered,0
SHP100071,2025-02-08,DHL,Hyderabad,Kochi,Central,Rail,Standard,7.9,1583,1065.12,8,8,Delivered,0
SHP100072,2025-02-08,Delhivery,Mumbai,Pune,East,Road,Standard,2.37,1796,1003.94,7,8,Delivered,0
SHP100073,2025-02-09,Delhivery,Hyderabad,Pune,East,Air,Express,4.21,2096,1596.83,3,3,Delivered,0
SHP100074,2025-02-09,FedEx,Hyderabad,Ahmedabad,East,Road,Standard,14.98,866,1018.63,5,4,Delivered,0
SHP100075,2025-02-10,Delhivery,Mumbai,Thiruvananthapuram,Central,Air,Standard,9.78,352,995.45,2,3,Delivered,0
SHP100076,2025-02-10,FedEx,Hyderabad,Ahmedabad,North,Road,Standard,9.42,2107,1267.28,6,6,Delivered,0
SHP100077,2025-02-11,DHL,Delhi,Jaipur,Central,Air,Express,13.84,256,1271.47,3,3,Delivered,0
SHP100078,2025-02-12,BlueDart,Mumbai,Pune,Central,Sea,Standard,3.57,722,404.62,11,12,Delivered,0
SHP100079,2025-02-12,BlueDart,Hyderabad,Ahmedabad,East,Road,Standard,2.38,1978,1148.95,6,6,Delivered,0
SHP100080,2025-02-13,BlueDart,Bengaluru,Pune,South,Road,Standard,12.68,646,724.47,6,6,Delivered,0
SHP100081,2025-02-13,Delhivery,Mumbai,Kochi,North,Road,Express,6.38,745,741.13,5,5,Delivered,0
SHP100082,2025-02-14,DHL,Chennai,Ahmedabad,East,Road,Standard,3.5,1411,870.09,6,6,Delivered,0
SHP100083,2025-02-14,Delhivery,Mumbai,Jaipur,South,Road,Express,1.67,1878,1114.69,6,6,Delivered,0
SHP100084,2025-02-15,Delhivery,Mumbai,Ahmedabad,South,Road,High,7.66,1149,884.46,6,6,Delivered,0
SHP100085,2025-02-15,DHL,Mumbai,Pune,West,Sea,High,5.87,2429,1167.35,11,13,Delayed,1
SHP100086,2025-02-16,DHL,Hyderabad,Lucknow,North,Road,Standard,5.17,487,536.82,4,4,Delivered,0
SHP100087,2025-02-16,DHL,Mumbai,Lucknow,South,Sea,High,0.84,1292,680.7,12,13,Delivered,0
SHP100088,2025-02-17,DHL,Chennai,Thiruvananthapuram,East,Rail,Standard,17.15,1933,1531.42,8,9,Delivered,0
SHP100089,2025-02-18,BlueDart,Kolkata,Pune,West,Air,Standard,2.02,1232,1252.34,3,4,Delivered,0
SHP100090,2025-02-18,UPS,Mumbai,Kochi,North,Sea,High,5.54,1221,750.59,10,9,Delivered,0
SHP100091,2025-02-19,UPS,Bengaluru,Ahmedabad,Central,Air,Standard,4.89,223,791.7,3,4,Delivered,0
SHP100092,2025-02-19,DHL,Chennai,Lucknow,East,Rail,Standard,9.97,566,666.78,6,7,Delivered,0
SHP100093,2025-02-20,UPS,Kolkata,Kochi,South,Road,Standard,1.68,939,592.04,5,5,Delivered,0
SHP100094,2025-02-20,UPS,Hyderabad,Pune,South,Rail,Express,9.2,2015,1284.0,8,8,Delivered,0
SHP100095,2025-02-21,DHL,Mumbai,Kochi,East,Rail,Standard,7.68,227,689.53,7,7,Delayed,1
SHP100096,2025-02-21,UPS,Kolkata,Pune,South,Rail,Express,4.05,1439,1001.84,7,7,Delivered,0
SHP100097,2025-02-22,Delhivery,Bengaluru,Thiruvananthapuram,West,Rail,High,8.99,1437,1119.29,8,8,Delivered,0
SHP100098,2025-02-22,FedEx,Chennai,Ahmedabad,North,Road,Express,6.83,169,500.76,4,5,Delivered,0
SHP100099,2025-02-23,FedEx,Chennai,Kochi,West,Air,Standard,19.72,1437,1885.56,5,5,Delivered,0
SHP100100,2025-02-24,DHL,Hyderabad,Ahmedabad,South,Road,High,5.86,278,505.63,5,6,Delivered,0
SHP100101,2025-02-24,BlueDart,Hyderabad,Kochi,Central,Air,Standard,3.14,617,1001.05,3,2,Delivered,0
SHP100102,2025-02-25,DHL,Hyderabad,Pune,North,Road,Standard,9.26,380,638.73,6,6,Delivered,0
SHP100103,2025-02-25,BlueDart,Kolkata,Pune,North,Road,Standard,5.35,803,542.03,5,10,Delayed,1
SHP100104,2025-02-26,FedEx,Mumbai,Kochi,East,Sea,Standard,6.73,1678,994.28,12,12,Delivered,0
SHP100105,2025-02-26,DHL,Delhi,Thiruvananthapuram,East,Road,Standard,2.39,1539,886.04,6,7,Delivered,0
SHP100106,2025-02-27,Delhivery,Chennai,Pune,Central,Rail,Standard,10.07,147,511.55,7,14,Delayed,1
SHP100107,2025-02-27,UPS,Delhi,Jaipur,North,Air,Standard,4.73,1617,1421.57,4,4,Delivered,0
SHP100108,2025-02-28,BlueDart,Chennai,Jaipur,Central,Rail,Standard,8.09,477,660.27,6,8,Delivered,0
SHP100109,2025-02-28,UPS,Hyderabad,Ahmedabad,East,Sea,Express,22.8,699,1176.91,11,10,Delivered,0
SHP100110,2025-03-01,UPS,Mumbai,Jaipur,East,Road,Express,5.62,1664,1079.67,6,5,Delivered,0
SHP100111,2025-03-02,DHL,Mumbai,Jaipur,North,Road,Express,10.98,1243,1105.39,5,6,Delivered,0
SHP100112,2025-03-02,UPS,Chennai,Thiruvananthapuram,West,Rail,Standard,5.9,809,761.79,7,8,Delivered,0
SHP100113,2025-03-03,Delhivery,Kolkata,Thiruvananthapuram,South,Air,Standard,4.09,635,1006.6,4,4,Delivered,0
SHP100114,2025-03-03,UPS,Hyderabad,Lucknow,East,Road,High,15.31,2032,1560.13,7,10,Delayed,1
SHP100115,2025-03-04,DHL,Mumbai,Lucknow,East,Road,Standard,1.26,1831,867.09,6,10,Delayed,1
SHP100116,2025-03-04,Delhivery,Mumbai,Thiruvananthapuram,West,Air,Express,12.83,2409,2025.44,4,4,Delivered,0
SHP100117,2025-03-05,FedEx,Bengaluru,Lucknow,West,Road,Standard,1.12,1075,632.21,7,6,Delivered,0
SHP100118,2025-03-05,UPS,Mumbai,Thiruvananthapuram,Central,Air,High,12.0,2039,1977.57,3,3,Delivered,0
SHP100119,2025-03-06,DHL,Bengaluru,Lucknow,Central,Air,Standard,6.8,1681,1577.22,4,4,Delivered,0
SHP100120,2025-03-06,FedEx,Mumbai,Pune,South,Air,Standard,3.15,1560,1292.59,3,4,Delivered,0
SHP100121,2025-03-07,FedEx,Mumbai,Thiruvananthapuram,South,Sea,Express,4.97,2214,1230.54,13,13,Delivered,0
SHP100122,2025-03-08,BlueDart,Kolkata,Ahmedabad,North,Road,Standard,10.6,1182,1079.32,5,4,Delivered,0
SHP100123,2025-03-08,Delhivery,Kolkata,Ahmedabad,Central,Sea,Standard,21.47,2431,1801.78,12,13,Delivered,0
SHP100124,2025-03-09,UPS,Hyderabad,Thiruvananthapuram,East,Road,Standard,1.74,1483,906.86,7,10,Delayed,1
SHP100125,2025-03-09,DHL,Mumbai,Jaipur,Central,Road,Express,3.31,2257,1059.16,6,5,Delivered,0
SHP100126,2025-03-10,BlueDart,Hyderabad,Ahmedabad,East,Road,Standard,2.21,1379,640.95,7,8,Delivered,0
SHP100127,2025-03-10,Delhivery,Hyderabad,Jaipur,West,Road,Standard,5.87,1802,1042.17,6,8,Delayed,1
SHP100128,2025-03-11,BlueDart,Hyderabad,Ahmedabad,Central,Air,Standard,12.21,978,1441.91,3,4,Delivered,0
SHP100129,2025-03-11,Delhivery,Hyderabad,Kochi,West,Road,Standard,1.96,1286,890.09,7,8,Delivered,0
SHP100130,2025-03-12,Delhivery,Chennai,Kochi,South,Air,Express,6.68,1615,1443.21,4,4,Delivered,0
SHP100131,2025-03-12,UPS,Chennai,Thiruvananthapuram,South,Road,Standard,11.96,157,568.9,4,4,Delivered,0
SHP100132,2025-03-13,Delhivery,Mumbai,Ahmedabad,North,Road,Standard,4.92,1612,1020.68,6,5,Delivered,0
SHP100133,2025-03-14,BlueDart,Chennai,Pune,Central,Air,Standard,7.73,317,976.04,3,6,Delayed,1
SHP100134,2025-03-14,Delhivery,Mumbai,Jaipur,West,Air,Standard,14.6,1237,1578.3,4,4,Delivered,0
SHP100135,2025-03-15,UPS,Kolkata,Ahmedabad,East,Rail,Standard,2.83,2076,1112.98,8,8,Delivered,0
SHP100136,2025-03-15,UPS,Delhi,Thiruvananthapuram,South,Road,Standard,1.39,1295,860.42,7,8,Delivered,0
SHP100137,2025-03-16,BlueDart,Bengaluru,Jaipur,South,Air,Standard,8.38,357,1126.23,3,3,Delivered,0
SHP100138,2025-03-16,FedEx,Chennai,Lucknow,East,Sea,High,8.54,603,628.18,10,11,Delivered,0
SHP100139,2025-03-17,FedEx,Chennai,Thiruvananthapuram,West,Air,Standard,4.67,259,1004.03,3,4,Delivered,0
SHP100140,2025-03-17,Delhivery,Kolkata,Ahmedabad,West,Road,Express,4.01,202,428.79,4,5,Delivered,0
SHP100141,2025-03-18,DHL,Chennai,Pune,Central,Sea,Standard,6.9,1349,968.15,11,10,Delivered,0
SHP100142,2025-03-18,Delhivery,Mumbai,Lucknow,Central,Air,Standard,2.79,1837,1430.58,3,3,Delivered,0
SHP100143,2025-03-19,BlueDart,Mumbai,Thiruvananthapuram,North,Air,Standard,2.8,1174,1166.92,5,4,Delivered,0
SHP100144,2025-03-20,BlueDart,Delhi,Ahmedabad,South,Air,Standard,10.55,559,1155.87,3,7,Delayed,1
SHP100145,2025-03-20,BlueDart,Delhi,Kochi,Central,Road,High,2.64,1877,1046.75,6,5,Delivered,0
SHP100146,2025-03-21,BlueDart,Delhi,Ahmedabad,West,Air,High,1.47,2211,1609.85,4,4,Delivered,0
SHP100147,2025-03-21,BlueDart,Mumbai,Kochi,East,Road,Express,4.0,2484,1373.97,6,5,Delivered,0
SHP100148,2025-03-22,UPS,Hyderabad,Kochi,West,Air,Express,4.75,895,1296.02,3,5,Delayed,1
SHP100149,2025-03-22,FedEx,Hyderabad,Thiruvananthapuram,South,Road,Standard,9.2,522,744.13,5,6,Delivered,0
SHP100150,2025-03-23,BlueDart,Delhi,Ahmedabad,West,Sea,Standard,4.27,222,293.84,11,13,Delivered,0
SHP100151,2025-03-23,DHL,Delhi,Ahmedabad,North,Rail,High,16.17,271,811.03,5,4,Delivered,0
SHP100152,2025-03-24,DHL,Mumbai,Kochi,South,Road,Express,7.15,1490,1139.95,5,6,Delivered,0
SHP100153,2025-03-24,DHL,Kolkata,Jaipur,East,Road,Standard,3.58,457,541.23,5,5,Delivered,0
SHP100154,2025-03-25,DHL,Chennai,Lucknow,North,Road,Standard,8.95,614,828.7,4,3,Delivered,0
SHP100155,2025-03-26,UPS,Bengaluru,Pune,South,Road,Standard,15.99,1796,1412.21,6,7,Delivered,0
SHP100156,2025-03-26,DHL,Hyderabad,Ahmedabad,East,Road,High,10.36,1112,928.74,5,7,Delayed,1
SHP100157,2025-03-27,BlueDart,Hyderabad,Lucknow,North,Air,Standard,1.86,1490,1266.53,4,4,Delivered,0
SHP100158,2025-03-27,Delhivery,Mumbai,Lucknow,North,Rail,Standard,5.06,2220,1246.18,9,10,Delivered,0
SHP100159,2025-03-28,DHL,Mumbai,Jaipur,South,Road,Standard,8.0,2069,1230.55,7,11,Delayed,1
SHP100160,2025-03-28,UPS,Bengaluru,Lucknow,Central,Air,Express,10.09,1257,1501.48,4,3,Delivered,0
SHP100161,2025-03-29,UPS,Bengaluru,Ahmedabad,North,Road,Standard,5.9,484,593.95,6,7,Delivered,0
SHP100162,2025-03-29,DHL,Delhi,Thiruvananthapuram,North,Road,Express,5.32,1252,969.79,5,6,Delivered,0
SHP100163,2025-03-30,Delhivery,Bengaluru,Thiruvananthapuram,East,Rail,Standard,19.63,968,1091.5,7,7,Delivered,0
SHP100164,2025-03-30,DHL,Chennai,Lucknow,West,Road,High,10.46,501,659.05,5,5,Delivered,0
SHP100165,2025-03-31,UPS,Chennai,Ahmedabad,South,Rail,Express,8.96,1721,1245.93,9,8,Delivered,0
SHP100166,2025-04-01,FedEx,Hyderabad,Ahmedabad,South,Air,Standard,4.41,551,1015.38,3,3,Delivered,0
SHP100167,2025-04-01,BlueDart,Chennai,Kochi,Central,Road,Standard,2.76,626,534.38,5,5,Delivered,0
SHP100168,2025-04-02,UPS,Chennai,Jaipur,Central,Road,Standard,9.07,710,856.91,5,6,Delivered,0
SHP100169,2025-04-02,DHL,Chennai,Pune,South,Air,Standard,11.21,1117,1387.16,2,2,Delivered,0
SHP100170,2025-04-03,BlueDart,Delhi,Kochi,Central,Air,Express,6.71,1909,1595.49,3,8,Delayed,1
SHP100171,2025-04-03,DHL,Hyderabad,Pune,East,Rail,Standard,10.48,443,642.16,6,6,Delivered,0
SHP100172,2025-04-04,DHL,Mumbai,Ahmedabad,South,Air,Standard,10.66,2246,1773.54,4,4,Delivered,0
SHP100173,2025-04-04,FedEx,Hyderabad,Thiruvananthapuram,Central,Road,Standard,11.69,625,825.88,5,6,Delivered,0
SHP100174,2025-04-05,BlueDart,Hyderabad,Kochi,South,Air,Standard,1.83,713,951.42,3,3,Delivered,0
SHP100175,2025-04-05,BlueDart,Hyderabad,Lucknow,West,Air,Express,5.17,2016,1590.86,4,7,Delayed,1
SHP100176,2025-04-06,FedEx,Bengaluru,Lucknow,North,Air,Standard,9.43,1760,1607.02,4,5,Delivered,0
SHP100177,2025-04-07,UPS,Mumbai,Pune,South,Sea,High,6.97,1042,759.44,11,11,Delivered,0
SHP100178,2025-04-07,DHL,Bengaluru,Ahmedabad,North,Rail,High,10.68,962,869.9,6,5,Delivered,0
SHP100179,2025-04-08,Delhivery,Delhi,Thiruvananthapuram,Central,Sea,Standard,8.96,950,801.23,11,10,Delivered,0
SHP100180,2025-04-08,DHL,Delhi,Pune,North,Road,Standard,0.9,595,490.84,6,12,Delayed,1
SHP100181,2025-04-09,DHL,Kolkata,Thiruvananthapuram,South,Air,Express,13.51,1500,1671.7,3,3,Delivered,0
SHP100182,2025-04-09,UPS,Kolkata,Jaipur,West,Road,Standard,4.7,945,701.93,5,5,Delivered,0
SHP100183,2025-04-10,DHL,Delhi,Thiruvananthapuram,Central,Road,Standard,3.42,2233,1240.28,7,8,Delivered,0
SHP100184,2025-04-10,FedEx,Delhi,Lucknow,South,Rail,Standard,13.23,1188,1100.3,7,7,Delivered,0
SHP100185,2025-04-11,FedEx,Bengaluru,Kochi,Central,Air,Standard,10.15,293,1170.97,3,4,Delivered,0
SHP100186,2025-04-11,BlueDart,Delhi,Kochi,East,Road,Express,14.41,2324,1639.48,6,10,Delayed,1
SHP100187,2025-04-12,Delhivery,Mumbai,Kochi,North,Air,Standard,8.06,98,1005.77,4,4,Delivered,0
SHP100188,2025-04-13,DHL,Bengaluru,Thiruvananthapuram,East,Road,Standard,5.12,721,689.4,5,5,Delivered,0
SHP100189,2025-04-13,DHL,Delhi,Lucknow,South,Road,High,7.44,1184,823.07,6,10,Delayed,1
SHP100190,2025-04-14,UPS,Bengaluru,Thiruvananthapuram,West,Road,Express,2.94,409,406.78,5,5,Delivered,0
SHP100191,2025-04-14,FedEx,Bengaluru,Ahmedabad,Central,Road,Standard,2.16,945,642.65,5,4,Delivered,0
SHP100192,2025-04-15,Delhivery,Chennai,Lucknow,North,Road,Express,4.16,853,732.17,5,6,Delivered,0
SHP100193,2025-04-15,BlueDart,Kolkata,Lucknow,Central,Road,Standard,17.15,471,1061.57,5,5,Delivered,0
SHP100194,2025-04-16,FedEx,Bengaluru,Thiruvananthapuram,South,Rail,Express,4.49,716,590.51,7,7,Delivered,0
SHP100195,2025-04-16,BlueDart,Hyderabad,Thiruvananthapuram,Central,Rail,Standard,1.5,2434,1254.15,8,8,Delivered,0
SHP100196,2025-04-17,UPS,Bengaluru,Kochi,North,Sea,Standard,6.02,1105,812.73,12,12,Delivered,0
SHP100197,2025-04-17,UPS,Hyderabad,Lucknow,South,Rail,Express,4.45,1754,1055.03,9,10,Delivered,0
SHP100198,2025-04-18,DHL,Chennai,Kochi,Central,Road,Standard,13.67,819,1076.51,5,6,Delayed,1
SHP100199,2025-04-19,Delhivery,Delhi,Ahmedabad,West,Road,High,16.4,1625,1292.95,6,6,Delivered,0
SHP100200,2025-04-19,BlueDart,Bengaluru,Jaipur,South,Road,Standard,4.95,548,616.02,5,5,Delivered,0
SHP100201,2025-04-20,FedEx,Chennai,Kochi,South,Air,High,8.06,2339,1917.07,5,5,Delivered,0
SHP100202,2025-04-20,UPS,Mumbai,Thiruvananthapuram,West,Rail,High,8.52,1215,1043.58,6,7,Delayed,1
SHP100203,2025-04-21,DHL,Chennai,Pune,East,Air,Standard,6.5,1111,1308.96,5,10,Delayed,1
SHP100204,2025-04-21,DHL,Kolkata,Jaipur,North,Sea,Express,5.69,953,744.75,10,10,Delivered,0
SHP100205,2025-04-22,BlueDart,Kolkata,Ahmedabad,East,Road,Standard,3.24,539,492.62,5,5,Delivered,0
SHP100206,2025-04-22,UPS,Delhi,Thiruvananthapuram,Central,Road,High,1.28,2380,1164.46,7,7,Delivered,0
SHP100207,2025-04-23,Delhivery,Hyderabad,Jaipur,West,Road,Standard,3.22,1629,900.92,7,8,Delivered,0
SHP100208,2025-04-23,UPS,Delhi,Thiruvananthapuram,East,Rail,Express,6.34,831,631.0,7,10,Delayed,1
SHP100209,2025-04-24,BlueDart,Hyderabad,Kochi,South,Road,Standard,1.96,1541,859.04,7,7,Delivered,0
SHP100210,2025-04-25,BlueDart,Hyderabad,Thiruvananthapuram,Central,Road,Standard,7.78,1857,1230.7,6,6,Delivered,0
SHP100211,2025-04-25,UPS,Hyderabad,Ahmedabad,Central,Air,Standard,7.07,933,1233.53,3,4,Delivered,0
SHP100212,2025-04-26,BlueDart,Hyderabad,Pune,East,Road,Standard,4.45,2363,1328.72,7,7,Delivered,0
SHP100213,2025-04-26,UPS,Kolkata,Kochi,East,Air,Express,5.52,1409,1484.86,4,5,Delivered,0
SHP100214,2025-04-27,FedEx,Kolkata,Kochi,West,Road,Express,2.28,557,450.68,4,4,Delivered,0
SHP100215,2025-04-27,UPS,Bengaluru,Ahmedabad,North,Road,Express,11.56,2343,1697.8,7,8,Delivered,0
SHP100216,2025-04-28,UPS,Kolkata,Ahmedabad,East,Road,Standard,11.43,214,688.51,5,5,Delivered,0
SHP100217,2025-04-28,BlueDart,Delhi,Jaipur,East,Air,Standard,2.64,1232,1218.14,4,5,Delivered,0
SHP100218,2025-04-29,BlueDart,Kolkata,Pune,South,Air,Standard,2.7,489,906.41,3,4,Delivered,0
SHP100219,2025-04-29,DHL,Delhi,Thiruvananthapuram,Central,Road,Express,3.25,1525,853.93,5,5,Delivered,0
SHP100220,2025-04-30,DHL,Mumbai,Jaipur,North,Air,High,9.74,1397,1526.62,4,4,Delivered,0
SHP100221,2025-05-01,FedEx,Kolkata,Thiruvananthapuram,South,Air,Standard,8.5,1349,1317.27,3,4,Delivered,0
SHP100222,2025-05-01,DHL,Delhi,Thiruvananthapuram,West,Air,Standard,13.13,1659,1834.84,2,4,Delayed,1
SHP100223,2025-05-02,UPS,Hyderabad,Thiruvananthapuram,West,Sea,Standard,14.07,165,422.38,10,17,Delayed,1
